age	gender	diagnosis	year	nConsultations
6-15	M	Forebyggende kontakt	2016	10633
6-15	M	Forebyggende kontakt	2017	10631
6-15	M	Forebyggende kontakt	2018	11064
6-15	M	Forebyggende kontakt	2019	11339
6-15	M	Forebyggende kontakt	2020	11201
6-15	M	Andre diagnoser	2012	102631
6-15	M	Andre diagnoser	2013	101808
6-15	M	Andre diagnoser	2014	107425
6-15	M	Andre diagnoser	2015	105814
6-15	M	Andre diagnoser	2016	107954
6-15	M	Andre diagnoser	2017	110423
6-15	M	Andre diagnoser	2018	112248
6-15	M	Andre diagnoser	2019	112744
6-15	M	Andre diagnoser	2020	122834
6-15	F	Alle diagnoser	2012	354869
6-15	F	Alle diagnoser	2013	353790
6-15	F	Alle diagnoser	2014	370289
6-15	F	Alle diagnoser	2015	369964
6-15	F	Alle diagnoser	2016	379113
6-15	F	Alle diagnoser	2017	387187
6-15	F	Alle diagnoser	2018	384156
6-15	F	Alle diagnoser	2019	393115
6-15	F	Alle diagnoser	2020	413281
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2012	68846
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2013	59834
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2014	56461
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2015	58573
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2016	63768
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2017	62059
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2018	59083
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2019	54794
6-15	F	Luftveisinfeksjoner, inkl. orebetennelse	2020	41179
6-15	F	Lokale smerter og betennelser	2012	29013
6-15	F	Lokale smerter og betennelser	2013	30167
6-15	F	Lokale smerter og betennelser	2014	32706
6-15	F	Lokale smerter og betennelser	2015	33150
6-15	F	Lokale smerter og betennelser	2016	32989
6-15	F	Lokale smerter og betennelser	2017	33600
6-15	F	Lokale smerter og betennelser	2018	31852
6-15	F	Lokale smerter og betennelser	2019	32520
6-15	F	Lokale smerter og betennelser	2020	29475
6-15	F	Ryggproblemer	2012	4241
6-15	F	Ryggproblemer	2013	4658
6-15	F	Ryggproblemer	2014	4947
6-15	F	Ryggproblemer	2015	4887
6-15	F	Ryggproblemer	2016	4811
6-15	F	Ryggproblemer	2017	4746
6-15	F	Ryggproblemer	2018	4103
6-15	F	Ryggproblemer	2019	4182
6-15	F	Ryggproblemer	2020	3852
6-15	F	Generelle smerter og muskelplager	2012	1968
6-15	F	Generelle smerter og muskelplager	2013	2009
6-15	F	Generelle smerter og muskelplager	2014	2178
6-15	F	Generelle smerter og muskelplager	2015	2004
6-15	F	Generelle smerter og muskelplager	2016	2012
6-15	F	Generelle smerter og muskelplager	2017	1873
6-15	F	Generelle smerter og muskelplager	2018	1646
6-15	F	Generelle smerter og muskelplager	2019	1723
6-15	F	Generelle smerter og muskelplager	2020	1615
6-15	F	Ledd- og giktsykdommer	2012	2565
6-15	F	Ledd- og giktsykdommer	2013	2438
6-15	F	Ledd- og giktsykdommer	2014	2768
6-15	F	Ledd- og giktsykdommer	2015	2722
6-15	F	Ledd- og giktsykdommer	2016	2758
6-15	F	Ledd- og giktsykdommer	2017	2927
6-15	F	Ledd- og giktsykdommer	2018	2743
6-15	F	Ledd- og giktsykdommer	2019	2914
6-15	F	Ledd- og giktsykdommer	2020	2706
6-15	F	Psykisk sykdom eller lidelse	2012	17053
6-15	F	Psykisk sykdom eller lidelse	2013	17758
6-15	F	Psykisk sykdom eller lidelse	2014	19058
6-15	F	Psykisk sykdom eller lidelse	2015	19765
6-15	F	Psykisk sykdom eller lidelse	2016	20430
6-15	F	Psykisk sykdom eller lidelse	2017	22062
6-15	F	Psykisk sykdom eller lidelse	2018	22684
6-15	F	Psykisk sykdom eller lidelse	2019	24264
6-15	F	Psykisk sykdom eller lidelse	2020	30487
6-15	F	Atopi, astma, allergi eller eksem	2012	29539
6-15	F	Atopi, astma, allergi eller eksem	2013	28677
6-15	F	Atopi, astma, allergi eller eksem	2014	32574
6-15	F	Atopi, astma, allergi eller eksem	2015	31847
6-15	F	Atopi, astma, allergi eller eksem	2016	32103
6-15	F	Atopi, astma, allergi eller eksem	2017	33978
6-15	F	Atopi, astma, allergi eller eksem	2018	33987
6-15	F	Atopi, astma, allergi eller eksem	2019	36890
6-15	F	Atopi, astma, allergi eller eksem	2020	40209
6-15	F	Hoyt blodtrykk	2012	10
6-15	F	Hoyt blodtrykk	2013	20
6-15	F	Hoyt blodtrykk	2014	25
6-15	F	Hoyt blodtrykk	2015	27
6-15	F	Hoyt blodtrykk	2016	64
6-15	F	Hoyt blodtrykk	2017	24
6-15	F	Hoyt blodtrykk	2018	26
6-15	F	Hoyt blodtrykk	2019	20
6-15	F	Hoyt blodtrykk	2020	30
6-15	F	Hjertesykdom	2012	312
6-15	F	Hjertesykdom	2013	360
6-15	F	Hjertesykdom	2014	339
6-15	F	Hjertesykdom	2015	286
6-15	F	Hjertesykdom	2016	302
6-15	F	Hjertesykdom	2017	314
6-15	F	Hjertesykdom	2018	277
6-15	F	Hjertesykdom	2019	323
6-15	F	Hjertesykdom	2020	300
6-15	F	Diabetes	2012	405
6-15	F	Diabetes	2013	378
6-15	F	Diabetes	2014	346
6-15	F	Diabetes	2015	361
6-15	F	Diabetes	2016	336
6-15	F	Diabetes	2017	348
6-15	F	Diabetes	2018	436
6-15	F	Diabetes	2019	384
6-15	F	Diabetes	2020	526
6-15	F	Kreft	2012	147
6-15	F	Kreft	2013	114
6-15	F	Kreft	2014	81
6-15	F	Kreft	2015	142
6-15	F	Kreft	2016	140
6-15	F	Kreft	2017	92
6-15	F	Kreft	2018	87
6-15	F	Kreft	2019	103
6-15	F	Kreft	2020	96
6-15	F	Underlivsplager hos kvinner	2012	4874
6-15	F	Underlivsplager hos kvinner	2013	5185
6-15	F	Underlivsplager hos kvinner	2014	5312
6-15	F	Underlivsplager hos kvinner	2015	5239
6-15	F	Underlivsplager hos kvinner	2016	5371
6-15	F	Underlivsplager hos kvinner	2017	6078
6-15	F	Underlivsplager hos kvinner	2018	6476
6-15	F	Underlivsplager hos kvinner	2019	7360
6-15	F	Underlivsplager hos kvinner	2020	8353
6-15	F	Funksjonelle mage-tarmplager	2012	22667
6-15	F	Funksjonelle mage-tarmplager	2013	24779
6-15	F	Funksjonelle mage-tarmplager	2014	26454
6-15	F	Funksjonelle mage-tarmplager	2015	26082
6-15	F	Funksjonelle mage-tarmplager	2016	27319
6-15	F	Funksjonelle mage-tarmplager	2017	28639
6-15	F	Funksjonelle mage-tarmplager	2018	29192
6-15	F	Funksjonelle mage-tarmplager	2019	29914
6-15	F	Funksjonelle mage-tarmplager	2020	30403
6-15	F	Hudinfeksjoner	2012	25342
6-15	F	Hudinfeksjoner	2013	25589
6-15	F	Hudinfeksjoner	2014	27681
6-15	F	Hudinfeksjoner	2015	27167
6-15	F	Hudinfeksjoner	2016	27379
6-15	F	Hudinfeksjoner	2017	26819
6-15	F	Hudinfeksjoner	2018	27574
6-15	F	Hudinfeksjoner	2019	29067
6-15	F	Hudinfeksjoner	2020	27719
6-15	F	Ulykker og skader	2012	19730
6-15	F	Ulykker og skader	2013	20535
6-15	F	Ulykker og skader	2014	20753
6-15	F	Ulykker og skader	2015	20189
6-15	F	Ulykker og skader	2016	20441
6-15	F	Ulykker og skader	2017	20696
6-15	F	Ulykker og skader	2018	19977
6-15	F	Ulykker og skader	2019	19463
6-15	F	Ulykker og skader	2020	17391
6-15	F	Medfodt sykdom eller feil	2012	2199
6-15	F	Medfodt sykdom eller feil	2013	2139
6-15	F	Medfodt sykdom eller feil	2014	2285
6-15	F	Medfodt sykdom eller feil	2015	2180
6-15	F	Medfodt sykdom eller feil	2016	1977
6-15	F	Medfodt sykdom eller feil	2017	1934
6-15	F	Medfodt sykdom eller feil	2018	2084
6-15	F	Medfodt sykdom eller feil	2019	1981
6-15	F	Medfodt sykdom eller feil	2020	2387
6-15	F	Svangerskap, fodsel, prevensjon	2012	1701
6-15	F	Svangerskap, fodsel, prevensjon	2013	1673
6-15	F	Svangerskap, fodsel, prevensjon	2014	1703
6-15	F	Svangerskap, fodsel, prevensjon	2015	1782
6-15	F	Svangerskap, fodsel, prevensjon	2016	1967
6-15	F	Svangerskap, fodsel, prevensjon	2017	2186
6-15	F	Svangerskap, fodsel, prevensjon	2018	2209
6-15	F	Svangerskap, fodsel, prevensjon	2019	2610
6-15	F	Svangerskap, fodsel, prevensjon	2020	2879
6-15	F	Frykt for sykdom	2012	2054
6-15	F	Frykt for sykdom	2013	2167
6-15	F	Frykt for sykdom	2014	2206
6-15	F	Frykt for sykdom	2015	2128
6-15	F	Frykt for sykdom	2016	2161
6-15	F	Frykt for sykdom	2017	2377
6-15	F	Frykt for sykdom	2018	2303
6-15	F	Frykt for sykdom	2019	2335
6-15	F	Frykt for sykdom	2020	11315
6-15	F	Administrativ kontakt	2012	3404
6-15	F	Administrativ kontakt	2013	3803
6-15	F	Administrativ kontakt	2014	4465
6-15	F	Administrativ kontakt	2015	4728
6-15	F	Administrativ kontakt	2016	4917
6-15	F	Administrativ kontakt	2017	4429
6-15	F	Administrativ kontakt	2018	4855
6-15	F	Administrativ kontakt	2019	6784
6-15	F	Administrativ kontakt	2020	14205
6-15	F	Forebyggende kontakt	2012	5455
6-15	F	Forebyggende kontakt	2013	8065
6-15	F	Forebyggende kontakt	2014	8980
6-15	F	Forebyggende kontakt	2015	9401
6-15	F	Forebyggende kontakt	2016	10250
6-15	F	Forebyggende kontakt	2017	10467
6-15	F	Forebyggende kontakt	2018	10481
6-15	F	Forebyggende kontakt	2019	10941
6-15	F	Forebyggende kontakt	2020	10654
6-15	F	Andre diagnoser	2012	113344
6-15	F	Andre diagnoser	2013	113442
6-15	F	Andre diagnoser	2014	118967
6-15	F	Andre diagnoser	2015	117304
6-15	F	Andre diagnoser	2016	117618
6-15	F	Andre diagnoser	2017	121539
6-15	F	Andre diagnoser	2018	122081
6-15	F	Andre diagnoser	2019	124543
6-15	F	Andre diagnoser	2020	137500
16-19	M	Alle diagnoser	2012	161616
16-19	M	Alle diagnoser	2013	158668
16-19	M	Alle diagnoser	2014	163529
16-19	M	Alle diagnoser	2015	166732
16-19	M	Alle diagnoser	2016	195368
16-19	M	Alle diagnoser	2017	223318
16-19	M	Alle diagnoser	2018	228471
16-19	M	Alle diagnoser	2019	229497
16-19	M	Alle diagnoser	2020	181215
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2012	29846
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2013	26418
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2014	25135
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2015	28207
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2016	41919
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2017	57918
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2018	59965
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2019	59664
16-19	M	Luftveisinfeksjoner, inkl. orebetennelse	2020	24377
16-19	M	Lokale smerter og betennelser	2012	13560
16-19	M	Lokale smerter og betennelser	2013	13616
16-19	M	Lokale smerter og betennelser	2014	13604
16-19	M	Lokale smerter og betennelser	2015	14047
16-19	M	Lokale smerter og betennelser	2016	14456
16-19	M	Lokale smerter og betennelser	2017	14859
16-19	M	Lokale smerter og betennelser	2018	14962
16-19	M	Lokale smerter og betennelser	2019	14954
16-19	M	Lokale smerter og betennelser	2020	12493
16-19	M	Ryggproblemer	2012	4136
16-19	M	Ryggproblemer	2013	3888
16-19	M	Ryggproblemer	2014	3990
16-19	M	Ryggproblemer	2015	4009
16-19	M	Ryggproblemer	2016	3987
16-19	M	Ryggproblemer	2017	4591
16-19	M	Ryggproblemer	2018	4249
16-19	M	Ryggproblemer	2019	4269
16-19	M	Ryggproblemer	2020	3378
16-19	M	Generelle smerter og muskelplager	2012	1238
16-19	M	Generelle smerter og muskelplager	2013	1085
16-19	M	Generelle smerter og muskelplager	2014	1140
16-19	M	Generelle smerter og muskelplager	2015	1185
16-19	M	Generelle smerter og muskelplager	2016	1252
16-19	M	Generelle smerter og muskelplager	2017	1243
16-19	M	Generelle smerter og muskelplager	2018	1168
16-19	M	Generelle smerter og muskelplager	2019	1180
16-19	M	Generelle smerter og muskelplager	2020	900
16-19	M	Ledd- og giktsykdommer	2012	820
16-19	M	Ledd- og giktsykdommer	2013	823
16-19	M	Ledd- og giktsykdommer	2014	840
16-19	M	Ledd- og giktsykdommer	2015	880
16-19	M	Ledd- og giktsykdommer	2016	849
16-19	M	Ledd- og giktsykdommer	2017	866
16-19	M	Ledd- og giktsykdommer	2018	921
16-19	M	Ledd- og giktsykdommer	2019	843
16-19	M	Ledd- og giktsykdommer	2020	764
16-19	M	Psykisk sykdom eller lidelse	2012	16189
16-19	M	Psykisk sykdom eller lidelse	2013	16739
16-19	M	Psykisk sykdom eller lidelse	2014	17024
16-19	M	Psykisk sykdom eller lidelse	2015	17155
16-19	M	Psykisk sykdom eller lidelse	2016	18989
16-19	M	Psykisk sykdom eller lidelse	2017	21356
16-19	M	Psykisk sykdom eller lidelse	2018	23006
16-19	M	Psykisk sykdom eller lidelse	2019	23189
16-19	M	Psykisk sykdom eller lidelse	2020	21996
16-19	M	Atopi, astma, allergi eller eksem	2012	10458
16-19	M	Atopi, astma, allergi eller eksem	2013	9860
16-19	M	Atopi, astma, allergi eller eksem	2014	11118
16-19	M	Atopi, astma, allergi eller eksem	2015	10472
16-19	M	Atopi, astma, allergi eller eksem	2016	11641
16-19	M	Atopi, astma, allergi eller eksem	2017	11838
16-19	M	Atopi, astma, allergi eller eksem	2018	11744
16-19	M	Atopi, astma, allergi eller eksem	2019	12812
16-19	M	Atopi, astma, allergi eller eksem	2020	11146
16-19	M	Hoyt blodtrykk	2012	117
16-19	M	Hoyt blodtrykk	2013	103
16-19	M	Hoyt blodtrykk	2014	109
16-19	M	Hoyt blodtrykk	2015	134
16-19	M	Hoyt blodtrykk	2016	120
16-19	M	Hoyt blodtrykk	2017	100
16-19	M	Hoyt blodtrykk	2018	88
16-19	M	Hoyt blodtrykk	2019	72
16-19	M	Hoyt blodtrykk	2020	92
16-19	M	Hjertesykdom	2012	315
16-19	M	Hjertesykdom	2013	281
16-19	M	Hjertesykdom	2014	236
16-19	M	Hjertesykdom	2015	197
16-19	M	Hjertesykdom	2016	212
16-19	M	Hjertesykdom	2017	213
16-19	M	Hjertesykdom	2018	227
16-19	M	Hjertesykdom	2019	220
16-19	M	Hjertesykdom	2020	174
16-19	M	Diabetes	2012	446
16-19	M	Diabetes	2013	434
16-19	M	Diabetes	2014	467
16-19	M	Diabetes	2015	458
16-19	M	Diabetes	2016	504
16-19	M	Diabetes	2017	414
16-19	M	Diabetes	2018	431
16-19	M	Diabetes	2019	479
16-19	M	Diabetes	2020	406
16-19	M	Kreft	2012	138
16-19	M	Kreft	2013	158
16-19	M	Kreft	2014	122
16-19	M	Kreft	2015	78
16-19	M	Kreft	2016	86
16-19	M	Kreft	2017	53
16-19	M	Kreft	2018	72
16-19	M	Kreft	2019	101
16-19	M	Kreft	2020	110
16-19	M	Underlivsplager hos kvinner	2012	NA
16-19	M	Underlivsplager hos kvinner	2013	NA
16-19	M	Underlivsplager hos kvinner	2014	NA
16-19	M	Underlivsplager hos kvinner	2015	NA
16-19	M	Underlivsplager hos kvinner	2016	NA
16-19	M	Underlivsplager hos kvinner	2017	NA
16-19	M	Underlivsplager hos kvinner	2018	NA
16-19	M	Underlivsplager hos kvinner	2019	NA
16-19	M	Underlivsplager hos kvinner	2020	NA
16-19	M	Funksjonelle mage-tarmplager	2012	6152
16-19	M	Funksjonelle mage-tarmplager	2013	6235
16-19	M	Funksjonelle mage-tarmplager	2014	6752
16-19	M	Funksjonelle mage-tarmplager	2015	6740
16-19	M	Funksjonelle mage-tarmplager	2016	8841
16-19	M	Funksjonelle mage-tarmplager	2017	10816
16-19	M	Funksjonelle mage-tarmplager	2018	11329
16-19	M	Funksjonelle mage-tarmplager	2019	11392
16-19	M	Funksjonelle mage-tarmplager	2020	7436
16-19	M	Hudinfeksjoner	2012	6386
16-19	M	Hudinfeksjoner	2013	6526
16-19	M	Hudinfeksjoner	2014	6991
16-19	M	Hudinfeksjoner	2015	7066
16-19	M	Hudinfeksjoner	2016	7499
16-19	M	Hudinfeksjoner	2017	7591
16-19	M	Hudinfeksjoner	2018	7640
16-19	M	Hudinfeksjoner	2019	7679
16-19	M	Hudinfeksjoner	2020	8034
16-19	M	Ulykker og skader	2012	10886
16-19	M	Ulykker og skader	2013	10692
16-19	M	Ulykker og skader	2014	10578
16-19	M	Ulykker og skader	2015	10557
16-19	M	Ulykker og skader	2016	11356
16-19	M	Ulykker og skader	2017	11282
16-19	M	Ulykker og skader	2018	11762
16-19	M	Ulykker og skader	2019	11302
16-19	M	Ulykker og skader	2020	9224
16-19	M	Medfodt sykdom eller feil	2012	905
16-19	M	Medfodt sykdom eller feil	2013	918
16-19	M	Medfodt sykdom eller feil	2014	946
16-19	M	Medfodt sykdom eller feil	2015	892
16-19	M	Medfodt sykdom eller feil	2016	948
16-19	M	Medfodt sykdom eller feil	2017	1007
16-19	M	Medfodt sykdom eller feil	2018	960
16-19	M	Medfodt sykdom eller feil	2019	944
16-19	M	Medfodt sykdom eller feil	2020	984
16-19	M	Svangerskap, fodsel, prevensjon	2012	NA
16-19	M	Svangerskap, fodsel, prevensjon	2013	NA
16-19	M	Svangerskap, fodsel, prevensjon	2014	NA
16-19	M	Svangerskap, fodsel, prevensjon	2015	NA
16-19	M	Svangerskap, fodsel, prevensjon	2016	NA
16-19	M	Svangerskap, fodsel, prevensjon	2017	NA
16-19	M	Svangerskap, fodsel, prevensjon	2018	NA
16-19	M	Svangerskap, fodsel, prevensjon	2019	NA
16-19	M	Svangerskap, fodsel, prevensjon	2020	NA
16-19	M	Frykt for sykdom	2012	1496
16-19	M	Frykt for sykdom	2013	1542
16-19	M	Frykt for sykdom	2014	1549
16-19	M	Frykt for sykdom	2015	1450
16-19	M	Frykt for sykdom	2016	1470
16-19	M	Frykt for sykdom	2017	1520
16-19	M	Frykt for sykdom	2018	1530
16-19	M	Frykt for sykdom	2019	1521
16-19	M	Frykt for sykdom	2020	6930
16-19	M	Administrativ kontakt	2012	3344
16-19	M	Administrativ kontakt	2013	3472
16-19	M	Administrativ kontakt	2014	3970
16-19	M	Administrativ kontakt	2015	4143
16-19	M	Administrativ kontakt	2016	4953
16-19	M	Administrativ kontakt	2017	5298
16-19	M	Administrativ kontakt	2018	5652
16-19	M	Administrativ kontakt	2019	6394
16-19	M	Administrativ kontakt	2020	5931
16-19	M	Forebyggende kontakt	2012	1755
16-19	M	Forebyggende kontakt	2013	3151
16-19	M	Forebyggende kontakt	2014	3491
16-19	M	Forebyggende kontakt	2015	3642
16-19	M	Forebyggende kontakt	2016	4452
16-19	M	Forebyggende kontakt	2017	4517
16-19	M	Forebyggende kontakt	2018	4695
16-19	M	Forebyggende kontakt	2019	4770
16-19	M	Forebyggende kontakt	2020	3506
16-19	M	Andre diagnoser	2012	53360
16-19	M	Andre diagnoser	2013	52669
16-19	M	Andre diagnoser	2014	55378
16-19	M	Andre diagnoser	2015	55337
16-19	M	Andre diagnoser	2016	61759
16-19	M	Andre diagnoser	2017	67751
16-19	M	Andre diagnoser	2018	67969
16-19	M	Andre diagnoser	2019	67616
16-19	M	Andre diagnoser	2020	63240
16-19	F	Alle diagnoser	2012	261361
16-19	F	Alle diagnoser	2013	261184
16-19	F	Alle diagnoser	2014	271523
16-19	F	Alle diagnoser	2015	276514
16-19	F	Alle diagnoser	2016	303036
16-19	F	Alle diagnoser	2017	337380
16-19	F	Alle diagnoser	2018	337082
16-19	F	Alle diagnoser	2019	344989
16-19	F	Alle diagnoser	2020	291371
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2012	43295
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2013	38459
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2014	37416
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2015	41308
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2016	55730
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2017	73628
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2018	73064
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2019	76223
16-19	F	Luftveisinfeksjoner, inkl. orebetennelse	2020	32259
16-19	F	Lokale smerter og betennelser	2012	17040
16-19	F	Lokale smerter og betennelser	2013	17456
16-19	F	Lokale smerter og betennelser	2014	17849
16-19	F	Lokale smerter og betennelser	2015	17671
16-19	F	Lokale smerter og betennelser	2016	17391
16-19	F	Lokale smerter og betennelser	2017	17439
16-19	F	Lokale smerter og betennelser	2018	16390
16-19	F	Lokale smerter og betennelser	2019	16831
16-19	F	Lokale smerter og betennelser	2020	14268
16-19	F	Ryggproblemer	2012	5474
16-19	F	Ryggproblemer	2013	5335
16-19	F	Ryggproblemer	2014	5527
16-19	F	Ryggproblemer	2015	5346
16-19	F	Ryggproblemer	2016	5626
16-19	F	Ryggproblemer	2017	5649
16-19	F	Ryggproblemer	2018	5185
16-19	F	Ryggproblemer	2019	5137
16-19	F	Ryggproblemer	2020	4353
16-19	F	Generelle smerter og muskelplager	2012	1880
16-19	F	Generelle smerter og muskelplager	2013	1955
16-19	F	Generelle smerter og muskelplager	2014	1986
16-19	F	Generelle smerter og muskelplager	2015	1981
16-19	F	Generelle smerter og muskelplager	2016	1874
16-19	F	Generelle smerter og muskelplager	2017	1837
16-19	F	Generelle smerter og muskelplager	2018	1716
16-19	F	Generelle smerter og muskelplager	2019	1650
16-19	F	Generelle smerter og muskelplager	2020	1433
16-19	F	Ledd- og giktsykdommer	2012	1450
16-19	F	Ledd- og giktsykdommer	2013	1516
16-19	F	Ledd- og giktsykdommer	2014	1475
16-19	F	Ledd- og giktsykdommer	2015	1559
16-19	F	Ledd- og giktsykdommer	2016	1418
16-19	F	Ledd- og giktsykdommer	2017	1545
16-19	F	Ledd- og giktsykdommer	2018	1503
16-19	F	Ledd- og giktsykdommer	2019	1554
16-19	F	Ledd- og giktsykdommer	2020	1361
16-19	F	Psykisk sykdom eller lidelse	2012	25388
16-19	F	Psykisk sykdom eller lidelse	2013	25875
16-19	F	Psykisk sykdom eller lidelse	2014	26964
16-19	F	Psykisk sykdom eller lidelse	2015	28708
16-19	F	Psykisk sykdom eller lidelse	2016	30745
16-19	F	Psykisk sykdom eller lidelse	2017	34673
16-19	F	Psykisk sykdom eller lidelse	2018	35675
16-19	F	Psykisk sykdom eller lidelse	2019	36505
16-19	F	Psykisk sykdom eller lidelse	2020	35410
16-19	F	Atopi, astma, allergi eller eksem	2012	13261
16-19	F	Atopi, astma, allergi eller eksem	2013	13052
16-19	F	Atopi, astma, allergi eller eksem	2014	14445
16-19	F	Atopi, astma, allergi eller eksem	2015	14332
16-19	F	Atopi, astma, allergi eller eksem	2016	15053
16-19	F	Atopi, astma, allergi eller eksem	2017	15894
16-19	F	Atopi, astma, allergi eller eksem	2018	16085
16-19	F	Atopi, astma, allergi eller eksem	2019	17253
16-19	F	Atopi, astma, allergi eller eksem	2020	15663
16-19	F	Hoyt blodtrykk	2012	120
16-19	F	Hoyt blodtrykk	2013	132
16-19	F	Hoyt blodtrykk	2014	130
16-19	F	Hoyt blodtrykk	2015	142
16-19	F	Hoyt blodtrykk	2016	101
16-19	F	Hoyt blodtrykk	2017	140
16-19	F	Hoyt blodtrykk	2018	99
16-19	F	Hoyt blodtrykk	2019	85
16-19	F	Hoyt blodtrykk	2020	121
16-19	F	Hjertesykdom	2012	267
16-19	F	Hjertesykdom	2013	256
16-19	F	Hjertesykdom	2014	267
16-19	F	Hjertesykdom	2015	301
16-19	F	Hjertesykdom	2016	268
16-19	F	Hjertesykdom	2017	203
16-19	F	Hjertesykdom	2018	217
16-19	F	Hjertesykdom	2019	227
16-19	F	Hjertesykdom	2020	230
16-19	F	Diabetes	2012	479
16-19	F	Diabetes	2013	534
16-19	F	Diabetes	2014	535
16-19	F	Diabetes	2015	500
16-19	F	Diabetes	2016	565
16-19	F	Diabetes	2017	482
16-19	F	Diabetes	2018	450
16-19	F	Diabetes	2019	441
16-19	F	Diabetes	2020	506
16-19	F	Kreft	2012	102
16-19	F	Kreft	2013	116
16-19	F	Kreft	2014	115
16-19	F	Kreft	2015	107
16-19	F	Kreft	2016	134
16-19	F	Kreft	2017	104
16-19	F	Kreft	2018	67
16-19	F	Kreft	2019	75
16-19	F	Kreft	2020	98
16-19	F	Underlivsplager hos kvinner	2012	11078
16-19	F	Underlivsplager hos kvinner	2013	11740
16-19	F	Underlivsplager hos kvinner	2014	12292
16-19	F	Underlivsplager hos kvinner	2015	12134
16-19	F	Underlivsplager hos kvinner	2016	12364
16-19	F	Underlivsplager hos kvinner	2017	13003
16-19	F	Underlivsplager hos kvinner	2018	13364
16-19	F	Underlivsplager hos kvinner	2019	13852
16-19	F	Underlivsplager hos kvinner	2020	13594
16-19	F	Funksjonelle mage-tarmplager	2012	14357
16-19	F	Funksjonelle mage-tarmplager	2013	14511
16-19	F	Funksjonelle mage-tarmplager	2014	15337
16-19	F	Funksjonelle mage-tarmplager	2015	14601
16-19	F	Funksjonelle mage-tarmplager	2016	16282
16-19	F	Funksjonelle mage-tarmplager	2017	19127
16-19	F	Funksjonelle mage-tarmplager	2018	19187
16-19	F	Funksjonelle mage-tarmplager	2019	20037
16-19	F	Funksjonelle mage-tarmplager	2020	15688
16-19	F	Hudinfeksjoner	2012	7418
16-19	F	Hudinfeksjoner	2013	7416
16-19	F	Hudinfeksjoner	2014	7615
16-19	F	Hudinfeksjoner	2015	7457
16-19	F	Hudinfeksjoner	2016	7502
16-19	F	Hudinfeksjoner	2017	7704
16-19	F	Hudinfeksjoner	2018	7729
16-19	F	Hudinfeksjoner	2019	7941
16-19	F	Hudinfeksjoner	2020	9125
16-19	F	Ulykker og skader	2012	8613
16-19	F	Ulykker og skader	2013	8452
16-19	F	Ulykker og skader	2014	8426
16-19	F	Ulykker og skader	2015	8584
16-19	F	Ulykker og skader	2016	8824
16-19	F	Ulykker og skader	2017	8977
16-19	F	Ulykker og skader	2018	9141
16-19	F	Ulykker og skader	2019	8908
16-19	F	Ulykker og skader	2020	7223
16-19	F	Medfodt sykdom eller feil	2012	707
16-19	F	Medfodt sykdom eller feil	2013	784
16-19	F	Medfodt sykdom eller feil	2014	807
16-19	F	Medfodt sykdom eller feil	2015	763
16-19	F	Medfodt sykdom eller feil	2016	733
16-19	F	Medfodt sykdom eller feil	2017	828
16-19	F	Medfodt sykdom eller feil	2018	783
16-19	F	Medfodt sykdom eller feil	2019	787
16-19	F	Medfodt sykdom eller feil	2020	791
16-19	F	Svangerskap, fodsel, prevensjon	2012	17789
16-19	F	Svangerskap, fodsel, prevensjon	2013	17821
16-19	F	Svangerskap, fodsel, prevensjon	2014	18097
16-19	F	Svangerskap, fodsel, prevensjon	2015	18698
16-19	F	Svangerskap, fodsel, prevensjon	2016	18778
16-19	F	Svangerskap, fodsel, prevensjon	2017	18030
16-19	F	Svangerskap, fodsel, prevensjon	2018	17716
16-19	F	Svangerskap, fodsel, prevensjon	2019	16470
16-19	F	Svangerskap, fodsel, prevensjon	2020	17143
16-19	F	Frykt for sykdom	2012	2329
16-19	F	Frykt for sykdom	2013	2432
16-19	F	Frykt for sykdom	2014	2451
16-19	F	Frykt for sykdom	2015	2432
16-19	F	Frykt for sykdom	2016	2235
16-19	F	Frykt for sykdom	2017	2162
16-19	F	Frykt for sykdom	2018	2112
16-19	F	Frykt for sykdom	2019	2183
